,ID,Name,Parameter,Language,Frequency,Confidence,References
0,26A,Equal prefixing and suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Zoque (Ostuacan),,,Engel and Longacre 1963
1,51A,Case suffixes,Position of Case Affixes,Zoque (Ostuacan),,,Engel and Longacre 1963
2,57A,Possessive prefixes,Position of Pronominal Possessive Affixes,Zoque (Ostuacan),,,Engel and Longacre 1963
3,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Zoque (Ostuacan),,,Engel and Longacre 1963
4,81A,No dominant order,"Order of Subject, Object and Verb",Zoque (Ostuacan),,,Engel and Longacre 1963
5,82A,VS,Order of Subject and Verb,Zoque (Ostuacan),,,Engel and Longacre 1963
6,83A,VO,Order of Object and Verb,Zoque (Ostuacan),,,Engel and Longacre 1963
7,93A,Initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Zoque (Ostuacan),,,Engel and Longacre 1963
8,94A,Initial subordinator word,Order of Adverbial Subordinator and Clause,Zoque (Ostuacan),,,Engel and Longacre 1963
9,143A,NegV,Order of Negative Morpheme and Verb,Zoque (Ostuacan),,,Engel and Longacre 1963
10,143E,NegV,Preverbal Negative Morphemes,Zoque (Ostuacan),,,Engel and Longacre 1963
11,143F,None,Postverbal Negative Morphemes,Zoque (Ostuacan),,,Engel and Longacre 1963
12,143G,None,Minor morphological means of signaling negation,Zoque (Ostuacan),,,Engel and Longacre 1963
13,144A,Other,"Position of Negative Word With Respect to Subject, Object, and Verb",Zoque (Ostuacan),,,Engel and Longacre 1963
14,144B,Immed preverbal,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Zoque (Ostuacan),,,Engel and Longacre 1963
15,144T,NegV & VS & VO,The Position of Negative Morphemes in Verb-Initial Languages,Zoque (Ostuacan),,,Engel and Longacre 1963
16,144V,"Separate word, no double negation  Word&NoDoubleNeg",Verb-Initial with Preverbal Negative,Zoque (Ostuacan),,,Engel and Longacre 1963
17,144W,None,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,Zoque (Ostuacan),,,Engel and Longacre 1963
18,144X,No clause-final neg,Verb-Initial with Clause-Final Negative,Zoque (Ostuacan),,,Engel and Longacre 1963
