,ID,Name,Parameter,Language,Frequency,Confidence,References
0,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Suki,,,Voorhoeve 1975
1,33A,Plural suffix,Coding of Nominal Plurality,Suki,,,Hatfield 2008
2,51A,Case suffixes,Position of Case Affixes,Suki,,,Hatfield 2008
3,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Suki,,,Hatfield 2008
4,81A,SOV,"Order of Subject, Object and Verb",Suki,,,Voorhoeve 1975
5,82A,SV,Order of Subject and Verb,Suki,,,Voorhoeve 1975
6,83A,OV,Order of Object and Verb,Suki,,,Voorhoeve 1975
7,86A,Genitive-Noun,Order of Genitive and Noun,Suki,,,Hatfield 2008
8,87A,Adjective-Noun,Order of Adjective and Noun,Suki,,,Hatfield 2008
9,88A,Demonstrative-Noun,Order of Demonstrative and Noun,Suki,,,Voorhoeve 1975
10,89A,No dominant order,Order of Numeral and Noun,Suki,,,Hatfield 2008
11,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Suki,,,Voorhoeve 1975
12,97A,OV and AdjN,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Suki,,,
