,ID,Name,Parameter,Language,Frequency,Confidence,References
0,26A,Strongly suffixing,Prefixing vs. Suffixing in Inflectional Morphology,Shina,,,Bailey 1924
1,33A,Plural suffix,Coding of Nominal Plurality,Shina,,,Bailey 1924
2,37A,No definite or indefinite article,Definite Articles,Shina,,,Bailey 1924
3,38A,No definite or indefinite article,Indefinite Articles,Shina,,,Bailey 1924
4,51A,Case suffixes,Position of Case Affixes,Shina,,,Bailey 1924
5,69A,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Shina,,,Bailey 1924
6,81A,SOV,"Order of Subject, Object and Verb",Shina,,,Bailey 1924
7,82A,SV,Order of Subject and Verb,Shina,,,Bailey 1924
8,83A,OV,Order of Object and Verb,Shina,,,Bailey 1924
9,85A,Postpositions,Order of Adposition and Noun Phrase,Shina,,,Bailey 1924
10,86A,Genitive-Noun,Order of Genitive and Noun,Shina,,,Bailey 1924
11,87A,Adjective-Noun,Order of Adjective and Noun,Shina,,,Bailey 1924
12,88A,Demonstrative-Noun,Order of Demonstrative and Noun,Shina,,,Bailey 1924
13,89A,Numeral-Noun,Order of Numeral and Noun,Shina,,,Bailey 1924
14,91A,Degree word-Adjective,Order of Degree Word and Adjective,Shina,,,Bailey 1924
15,92A,No question particle,Position of Polar Question Particles,Shina,,,Bailey 1924
16,93A,Not initial interrogative phrase,Position of Interrogative Phrases in Content Questions,Shina,,,Bailey 1924
17,94A,Mixed,Order of Adverbial Subordinator and Clause,Shina,,,Bailey 1924
18,95A,OV and Postpositions,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Shina,,,
19,97A,OV and AdjN,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Shina,,,
20,112A,Negative particle,Negative Morphemes,Shina,,,Bailey 1924
21,116A,Interrogative verb morphology,Polar Questions,Shina,,,Bailey 1924
22,143A,NegV,Order of Negative Morpheme and Verb,Shina,,,Bailey 1924
23,143E,NegV,Preverbal Negative Morphemes,Shina,,,Bailey 1924
24,143F,None,Postverbal Negative Morphemes,Shina,,,Bailey 1924
25,143G,None,Minor morphological means of signaling negation,Shina,,,Bailey 1924
26,144A,SONegV,"Position of Negative Word With Respect to Subject, Object, and Verb",Shina,,,Bailey 1924
27,144B,Immed preverbal,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Shina,,,Bailey 1924
28,144L,SONegV,The Position of Negative Morphemes in SOV Languages,Shina,,,Bailey 1924
29,144P,No NegSOV,NegSOV Order,Shina,,,Bailey 1924
30,144Q,No SNegOV,SNegOV Order,Shina,,,Bailey 1924
31,144R,Word&NoDoubleNeg,SONegV Order,Shina,,,Bailey 1924
32,144S,NoSOVNeg,SOVNeg Order,Shina,,,Bailey 1924
