Id	Name	Authors	Area	Languages	Details
1A	Consonant Inventories	Ian Maddieson	Phonology	563	
2A	Vowel Quality Inventories	Ian Maddieson	Phonology	564	
3A	Consonant-Vowel Ratio	Ian Maddieson	Phonology	564	
4A	Voicing in Plosives and Fricatives	Ian Maddieson	Phonology	567	
5A	Voicing and Gaps in Plosive Systems	Ian Maddieson	Phonology	567	
6A	Uvular Consonants	Ian Maddieson	Phonology	567	
7A	Glottalized Consonants	Ian Maddieson	Phonology	567	
8A	Lateral Consonants	Ian Maddieson	Phonology	567	
9A	The Velar Nasal	Gregory D.S. Anderson	Phonology	469	
10A	Vowel Nasalization	John Hajek	Phonology	244	
10B	Nasal Vowels in West Africa	John Hajek	Phonology	40	
11A	Front Rounded Vowels	Ian Maddieson	Phonology	562	
12A	Syllable Structure	Ian Maddieson	Phonology	486	
13A	Tone	Ian Maddieson	Phonology	527	
14A	Fixed Stress Locations	Rob Goedemans and Harry van der Hulst	Phonology	502	
15A	Weight-Sensitive Stress	Rob Goedemans and Harry van der Hulst	Phonology	500	
16A	Weight Factors in Weight-Sensitive Stress Systems	Rob Goedemans and Harry van der Hulst	Phonology	500	
17A	Rhythm Types	Rob Goedemans and Harry van der Hulst	Phonology	323	
18A	Absence of Common Consonants	Ian Maddieson	Phonology	567	
19A	Presence of Uncommon Consonants	Ian Maddieson	Phonology	567	
20A	Fusion of Selected Inflectional Formatives	Balthasar Bickel and Johanna Nichols	Morphology	165	
21A	Exponence of Selected Inflectional Formatives	Balthasar Bickel and Johanna Nichols	Morphology	162	
21B	Exponence of Tense-Aspect-Mood Inflection	Balthasar Bickel and Johanna Nichols	Morphology	160	
22A	Inflectional Synthesis of the Verb	Balthasar Bickel and Johanna Nichols	Morphology	145	
23A	Locus of Marking in the Clause	Johanna Nichols and Balthasar Bickel	Morphology	236	
24A	Locus of Marking in Possessive Noun Phrases	Johanna Nichols and Balthasar Bickel	Morphology	236	
25A	Locus of Marking: Whole-language Typology	Johanna Nichols and Balthasar Bickel	Morphology	236	
25B	Zero Marking of A and P Arguments	Johanna Nichols and Balthasar Bickel	Morphology	235	
26A	Prefixing vs. Suffixing in Inflectional Morphology	Matthew S. Dryer	Morphology	969	
27A	Reduplication	Carl Rubino	Morphology	368	
28A	Case Syncretism	Matthew Baerman and Dunstan Brown	Morphology	198	
29A	Syncretism in Verbal Person/Number Marking	Matthew Baerman and Dunstan Brown	Morphology	198	
30A	Number of Genders	Greville G. Corbett	Nominal Categories	257	
31A	Sex-based and Non-sex-based Gender Systems	Greville G. Corbett	Nominal Categories	257	
32A	Systems of Gender Assignment	Greville G. Corbett	Nominal Categories	257	
33A	Coding of Nominal Plurality	Matthew S. Dryer	Nominal Categories	1066	
34A	Occurrence of Nominal Plurality	Martin Haspelmath	Nominal Categories	291	
35A	Plurality in Independent Personal Pronouns	Michael Daniel	Nominal Categories	261	
36A	The Associative Plural	Michael Daniel and Edith Moravcsik	Nominal Categories	236	
37A	Definite Articles	Matthew S. Dryer	Nominal Categories	620	
38A	Indefinite Articles	Matthew S. Dryer	Nominal Categories	534	
39A	Inclusive/Exclusive Distinction in Independent Pronouns	Michael Cysouw	Nominal Categories	200	
39B	Inclusive/Exclusive Forms in Pama-Nyungan	Michael Cysouw	Nominal Categories	71	
40A	Inclusive/Exclusive Distinction in Verbal Inflection	Michael Cysouw	Nominal Categories	200	
41A	Distance Contrasts in Demonstratives	Holger Diessel	Nominal Categories	234	
42A	Pronominal and Adnominal Demonstratives	Holger Diessel	Nominal Categories	201	
43A	Third Person Pronouns and Demonstratives	D.N.S. Bhat	Nominal Categories	225	
44A	Gender Distinctions in Independent Personal Pronouns	Anna Siewierska	Nominal Categories	378	
45A	Politeness Distinctions in Pronouns	Johannes Helmbrecht	Nominal Categories	207	
46A	Indefinite Pronouns	Martin Haspelmath	Nominal Categories	326	
47A	Intensifiers and Reflexive Pronouns	Ekkehard König and Peter Siemund with Stephan Töpper	Nominal Categories	168	
48A	Person Marking on Adpositions	Dik Bakker	Nominal Categories	378	
49A	Number of Cases	Oliver A. Iggesen	Nominal Categories	261	
50A	Asymmetrical Case-Marking	Oliver A. Iggesen	Nominal Categories	261	
51A	Position of Case Affixes	Matthew S. Dryer	Nominal Categories	1031	
52A	Comitatives and Instrumentals	Thomas Stolz and Cornelia Stroh and Aina Urdze	Nominal Categories	322	
53A	Ordinal Numerals	Thomas Stolz and Ljuba N. Veselinova	Nominal Categories	321	
54A	Distributive Numerals	David Gil	Nominal Categories	251	
55A	Numeral Classifiers	David Gil	Nominal Categories	400	
56A	Conjunctions and Universal Quantifiers	David Gil	Nominal Categories	116	
57A	Position of Pronominal Possessive Affixes	Matthew S. Dryer	Nominal Categories	902	
58A	Obligatory Possessive Inflection	Balthasar Bickel and Johanna Nichols	Nominal Syntax	244	
58B	Number of Possessive Nouns	Balthasar Bickel and Johanna Nichols	Nominal Syntax	243	
59A	Possessive Classification	Johanna Nichols and Balthasar Bickel	Nominal Syntax	243	
60A	Genitives, Adjectives and Relative Clauses	David Gil	Nominal Syntax	138	
61A	Adjectives without Nouns	David Gil	Nominal Syntax	124	
62A	Action Nominal Constructions	Maria Koptjevskaja-Tamm	Nominal Syntax	168	
63A	Noun Phrase Conjunction	Leon Stassen	Nominal Syntax	234	
64A	Nominal and Verbal Conjunction	Martin Haspelmath	Nominal Syntax	301	
65A	Perfective/Imperfective Aspect	Östen Dahl and Viveka Velupillai	Verbal Categories	222	
66A	The Past Tense	Östen Dahl and Viveka Velupillai	Verbal Categories	222	
67A	The Future Tense	Östen Dahl and Viveka Velupillai	Verbal Categories	222	
68A	The Perfect	Östen Dahl and Viveka Velupillai	Verbal Categories	222	
69A	Position of Tense-Aspect Affixes	Matthew S. Dryer	Verbal Categories	1131	
70A	The Morphological Imperative	Johan van der Auwera and Ludo Lejeune with Umarani Pappuswamy and Valentin Goussev	Verbal Categories	547	
